wallet,nft_count,token_ids,contract,snapshot_time
0x8db9bae86f29a38b31acc230dbfccad7abfa789b,1,82103582880050473598274437968015106767487255154700255526459426095403021072971,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x7dd3a770ee63be630f117b783b254a046e389310,1,5384954506348164974118917434952249177780115559951349057735764084670895753483,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x78628913e3436a506fdfb972d8f0609cb33172f3,1,99065759593686813752860816784013297586007660552481003274387856031292964736689,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x73a7d216db8d609223a66b877c3ff2dcdf45f014,1,84337389317299485174198650363059000902923669070915278279742474373335366554470,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x62f4ccb45e8b48a7d955dedcaae62721813e1a17,1,28294218528392362660730120052307473105350915081880619939580542290576478216055,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x56ce632320b8af872b9ef5b94c4a483a63f1ee26,1,102088120989608476198381133020485296929930875891706292202461438583834784042646,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x54b2633a155999cbf34839e3a063cc520fddfcdc,1,48530520177019731204362183923644578703598392152961751961889740690485780431638,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x50da8ae79eb9cdf91a1cfe52d23364a6f0ae6fb8,1,47774171353756319195092477514068285788510933641945177667487340973813703088741,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x38d090266e867b204a31192aad288c9d36df2f08,1,60820045098978124968825637001547120270497554450461001487022310404899656222617,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x2e1b81570f0d8826c0e8d70e1060943ea14ac4ff,1,96765438788303051098123435459406896184816510318508927907807532696368212962414,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x1f1d5c52581302a47e217aed96f5ffa9531838f2,1,113761443283845174754688294918554606182166785709197810599702592056837147838725,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x1978ff6f1c0a3760696169b001647f7f7d9600c8,1,102759007956164655219564563645799072073579580792330767806166228924027009590102,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x006635f2cb4428eb135dafe928facde1321744a9,1,101661046026135114031620108954831493212219976668510473490175828180454937635060,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
